time,beamID,lineOfSightWindSpeed1,lineOfSightWindSpeed2,lineOfSightWindSpeed3,lineOfSightWindSpeed4,lineOfSightWindSpeed5,lineOfSightWindSpeed6,lineOfSightWindSpeed7,lineOfSightWindSpeed8,lineOfSightWindSpeed9,lineOfSightWindSpeed10,isValid1,isValid2,isValid3,isValid4,isValid5,isValid6,isValid7,isValid8,isValid9,isValid10
0.0,1.0,17.15931504301029,18.336298700430735,18.249970536890398,18.662528518913266,17.84776961065176,17.73366883181942,16.658862205633902,16.84846313038956,16.367473103981617,16.13063653140324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.25,2.0,19.511920315608595,19.85188461411185,17.947702214421586,16.065564509618348,15.476687365268926,14.368784868375633,14.917372456847154,15.719089713260386,17.37040846279239,17.255389380599794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,4.0,17.12674739080535,17.37096565691102,17.670417089013263,16.23973428894982,18.180477951035083,17.835773495112008,17.947397384629294,16.60872041242339,16.882894572125267,16.8657766992538,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,17.61067098064825,18.06222110476364,19.406276455558224,17.52118423404641,18.219433233369795,17.297865588170282,16.257918760076727,16.50405488108125,16.330253265030194,16.382525488684415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.25,2.0,19.470888155374904,19.12671361876131,16.694793122545125,15.017799976099566,16.16894188446651,16.64945026688613,17.958295051882857,17.581705611548166,18.185186099708485,17.27665056646532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.5,3.0,16.23777683567553,15.318137528576056,15.848390645887324,15.002157329569084,15.51184803245328,15.729346826147221,15.12782489959172,13.062670786723723,14.333039704755286,14.73251256653043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.75,4.0,17.86447946831953,16.658225468027076,16.89588201295503,15.981397395330882,17.316869415085325,17.651182288630103,16.811023843032547,16.190451588932397,16.108729733404203,16.57301246338887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,3.0,14.950806909689412,15.211902061519568,15.224173516850556,15.644017927673449,16.24196157342041,16.539401272688828,15.920071845785746,13.18957813973979,14.369976572764765,13.672029435209874,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
