time,REWS
0.000000,18.096882
0.250000,18.089336
0.500000,18.030964
0.750000,17.963020
1.000000,17.964412
1.250000,17.983779
1.500000,17.967848
1.750000,17.960082
2.000000,17.972102
2.250000,17.966196
2.500000,17.958170
2.750000,17.938396
3.000000,17.922394
3.250000,17.868823
3.500000,17.851146
3.750000,17.861544
4.000000,17.835132
4.250000,17.773732
4.500000,17.758450
4.750000,17.781973
5.000000,17.762965
5.250000,17.827650
5.500000,17.852640
5.750000,17.871346
6.000000,17.862793
6.250000,17.899482
6.500000,17.967625
6.750000,17.999691
7.000000,18.042886
7.250000,18.065847
7.500000,18.044930
7.750000,18.011854
8.000000,18.031447
8.250000,18.050127
8.500000,18.065353
8.750000,18.050648
9.000000,17.999740
9.250000,17.973004
9.500000,17.916567
9.750000,17.829320
10.000000,17.733483
10.250000,17.679610
10.500000,17.644434
10.750000,17.650083
11.000000,17.575087
11.250000,17.459849
11.500000,17.418324
11.750000,17.391143
12.000000,17.379308
12.250000,17.311172
12.500000,17.209507
12.750000,17.221610
13.000000,17.200576
13.250000,17.205445
13.500000,17.223066
13.750000,17.238163
14.000000,17.284036
14.250000,17.336520
14.500000,17.384460
14.750000,17.403747
15.000000,17.438110
15.250000,17.494441
15.500000,17.525062
15.750000,17.553371
16.000000,17.580201
16.250000,17.644660
16.500000,17.657294
16.750000,17.680093
17.000000,17.708542
17.250000,17.749097
17.500000,17.737273
17.750000,17.746581
18.000000,17.782056
18.250000,17.768841
18.500000,17.795969
18.750000,17.785711
19.000000,17.881578
19.250000,17.915035
19.500000,17.939746
19.750000,17.908813
20.000000,17.825888
20.250000,17.795279
20.500000,17.768346
20.750000,17.729753
21.000000,17.692094
21.250000,17.646365
21.500000,17.581080
21.750000,17.556456
22.000000,17.612229
22.250000,17.599047
22.500000,17.613266
22.750000,17.592768
23.000000,17.623325
23.250000,17.604263
23.500000,17.558688
23.750000,17.522708
24.000000,17.447278
24.250000,17.367831
24.500000,17.289803
24.750000,17.219162
25.000000,17.174545
25.250000,17.124347
25.500000,17.044772
25.750000,17.007268
26.000000,16.977443
26.250000,16.904830
26.500000,16.862604
26.750000,16.859640
27.000000,16.873417
27.250000,16.857769
27.500000,16.826990
27.750000,16.825281
28.000000,16.834755
28.250000,16.846021
28.500000,16.772209
28.750000,16.721112
29.000000,16.652090
29.250000,16.557285
29.500000,16.434968
29.750000,16.307069
30.000000,16.163321
30.250000,16.019291
30.500000,15.933557
30.750000,15.810376
31.000000,15.703982
31.250000,15.639644
31.500000,15.538888
31.750000,15.499687
32.000000,15.431694
32.250000,15.326809
32.500000,15.285160
32.750000,15.184231
33.000000,15.121597
33.250000,15.044583
33.500000,15.033016
33.750000,15.011956
34.000000,14.922752
34.250000,14.906942
34.500000,14.824531
34.750000,14.795958
35.000000,14.738586
35.250000,14.661843
35.500000,14.682428
35.750000,14.675281
36.000000,14.747501
36.250000,14.741429
36.500000,14.747083
36.750000,14.822453
37.000000,14.806767
37.250000,14.762010
37.500000,14.744782
37.750000,14.714716
38.000000,14.707991
38.250000,14.697254
38.500000,14.674085
38.750000,14.643412
39.000000,14.673259
39.250000,14.703578
39.500000,14.677695
39.750000,14.644260
40.000000,14.628250
40.250000,14.596690
40.500000,14.543052
40.750000,14.554570
41.000000,14.531624
41.250000,14.502542
41.500000,14.478144
41.750000,14.441689
42.000000,14.393515
42.250000,14.416254
42.500000,14.373919
42.750000,14.316637
43.000000,14.333220
43.250000,14.347620
43.500000,14.369661
43.750000,14.353341
44.000000,14.337286
44.250000,14.306835
44.500000,14.281551
44.750000,14.247656
45.000000,14.198362
45.250000,14.148473
45.500000,14.122604
45.750000,14.106353
46.000000,14.038628
46.250000,14.019997
46.500000,13.984443
46.750000,13.898958
47.000000,13.892440
47.250000,13.868518
47.500000,13.861789
47.750000,13.899625
48.000000,13.962511
48.250000,14.071564
48.500000,14.152214
48.750000,14.235018
49.000000,14.317531
49.250000,14.449281
49.500000,14.503956
49.750000,14.554604
50.000000,14.561642
50.250000,14.584814
50.500000,14.600160
50.750000,14.580039
51.000000,14.581868
51.250000,14.592907
51.500000,14.651109
51.750000,14.682450
52.000000,14.764500
52.250000,14.748124
52.500000,14.684468
52.750000,14.764726
53.000000,14.830399
53.250000,14.865229
53.500000,14.830573
53.750000,14.910057
54.000000,14.890155
54.250000,14.941511
54.500000,14.969609
54.750000,14.944355
55.000000,14.940195
55.250000,14.957442
55.500000,14.995753
55.750000,15.038138
56.000000,15.060265
56.250000,15.056871
56.500000,15.084848
56.750000,15.146161
57.000000,15.149955
57.250000,15.211480
57.500000,15.297568
57.750000,15.372138
58.000000,15.401055
58.250000,15.452702
58.500000,15.481410
58.750000,15.519997
59.000000,15.510688
59.250000,15.491386
59.500000,15.528686
59.750000,15.537032
60.000000,15.530259
60.250000,15.633674
60.500000,15.715515
60.750000,15.752880
61.000000,15.794743
61.250000,15.827846
61.500000,15.883178
61.750000,15.887628
62.000000,15.939215
62.250000,15.997281
62.500000,16.070391
62.750000,16.138116
63.000000,16.153055
63.250000,16.162492
63.500000,16.211080
63.750000,16.242549
64.000000,16.261746
64.250000,16.283972
64.500000,16.351738
64.750000,16.348351
65.000000,16.380719
65.250000,16.439433
65.500000,16.481980
65.750000,16.549905
66.000000,16.617366
66.250000,16.658946
66.500000,16.682726
66.750000,16.724537
67.000000,16.812500
67.250000,16.895069
67.500000,17.002270
67.750000,17.123902
68.000000,17.223405
68.250000,17.288158
68.500000,17.330656
68.750000,17.368224
69.000000,17.430514
69.250000,17.515844
69.500000,17.550674
69.750000,17.567797
70.000000,17.603739
70.250000,17.661722
70.500000,17.636811
70.750000,17.611614
71.000000,17.602589
71.250000,17.649529
71.500000,17.632131
71.750000,17.644094
72.000000,17.619338
72.250000,17.608469
72.500000,17.613402
72.750000,17.607990
73.000000,17.589400
73.250000,17.534886
73.500000,17.520310
73.750000,17.507962
74.000000,17.509255
74.250000,17.549490
74.500000,17.493536
74.750000,17.506732
75.000000,17.544293
75.250000,17.569645
75.500000,17.543712
75.750000,17.531816
76.000000,17.502304
76.250000,17.500366
76.500000,17.474086
76.750000,17.487765
77.000000,17.596705
77.250000,17.699083
77.500000,17.748633
77.750000,17.804048
78.000000,17.884452
78.250000,17.908937
78.500000,17.976522
78.750000,18.013781
79.000000,18.092828
79.250000,18.171336
79.500000,18.250466
79.750000,18.323075
80.000000,18.410374
80.250000,18.452279
80.500000,18.509746
80.750000,18.545179
81.000000,18.614062
81.250000,18.694459
81.500000,18.779469
81.750000,18.905056
82.000000,19.015746
82.250000,19.037628
82.500000,19.104508
82.750000,19.129721
83.000000,19.184457
83.250000,19.184645
83.500000,19.139421
83.750000,19.106149
84.000000,19.139172
84.250000,19.131610
84.500000,19.128952
84.750000,19.133609
85.000000,19.134530
85.250000,19.149374
85.500000,19.155115
85.750000,19.163442
86.000000,19.135850
86.250000,19.084135
86.500000,19.046378
86.750000,19.035528
87.000000,18.996885
87.250000,19.004839
87.500000,18.997066
87.750000,18.978823
88.000000,18.973283
88.250000,18.915009
88.500000,18.851090
