time,REWS
0.000000,17.844305
0.250000,17.824176
0.500000,17.814943
0.750000,17.789757
1.000000,17.723428
1.250000,17.720626
1.500000,17.657283
1.750000,17.629329
2.000000,17.552156
2.250000,17.459916
2.500000,17.471148
2.750000,17.557259
3.000000,17.549916
3.250000,17.526201
3.500000,17.508486
3.750000,17.504575
4.000000,17.533974
4.250000,17.472879
4.500000,17.369857
4.750000,17.375525
5.000000,17.334880
5.250000,17.305175
5.500000,17.175522
5.750000,17.131199
6.000000,17.087322
6.250000,16.960350
6.500000,16.922360
6.750000,16.865225
7.000000,16.833541
7.250000,16.800691
7.500000,16.779865
7.750000,16.690480
8.000000,16.692815
8.250000,16.728757
8.500000,16.716028
8.750000,16.744356
9.000000,16.684068
9.250000,16.702500
9.500000,16.704159
9.750000,16.648646
10.000000,16.573661
10.250000,16.538153
10.500000,16.470914
10.750000,16.405656
11.000000,16.298470
11.250000,16.275294
11.500000,16.200667
11.750000,16.184845
12.000000,16.170631
12.250000,16.081766
12.500000,16.060186
12.750000,16.034604
13.000000,16.110434
13.250000,16.132406
13.500000,16.100929
13.750000,16.122578
14.000000,16.119353
14.250000,16.063003
14.500000,16.066752
14.750000,16.062562
15.000000,16.054325
15.250000,16.029199
15.500000,16.005454
15.750000,15.993917
16.000000,16.038402
16.250000,16.095589
16.500000,16.144656
16.750000,16.204653
17.000000,16.200999
17.250000,16.269391
17.500000,16.308984
17.750000,16.339828
18.000000,16.321031
18.250000,16.314125
18.500000,16.343381
18.750000,16.403050
19.000000,16.502700
19.250000,16.623242
19.500000,16.742410
19.750000,16.805326
20.000000,16.821317
20.250000,16.899105
20.500000,16.992057
20.750000,17.144132
21.000000,17.251752
21.250000,17.350354
21.500000,17.425332
21.750000,17.553744
22.000000,17.736885
22.250000,17.832741
22.500000,17.918449
22.750000,18.006857
23.000000,18.044602
23.250000,18.085806
23.500000,18.239449
23.750000,18.346884
24.000000,18.403348
24.250000,18.403151
24.500000,18.495022
24.750000,18.596649
25.000000,18.683235
25.250000,18.784903
25.500000,18.796806
25.750000,18.848340
26.000000,18.870875
26.250000,18.862427
26.500000,18.877256
26.750000,18.888816
27.000000,18.900723
27.250000,18.864411
27.500000,18.871456
27.750000,18.893964
28.000000,18.979762
28.250000,19.059164
28.500000,19.027796
28.750000,19.146651
29.000000,19.195387
29.250000,19.252072
29.500000,19.315098
29.750000,19.304610
30.000000,19.439203
30.250000,19.567966
30.500000,19.663695
30.750000,19.774728
31.000000,19.835061
31.250000,19.884852
31.500000,19.951050
31.750000,20.070142
32.000000,20.135005
32.250000,20.130042
32.500000,20.152867
32.750000,20.170559
33.000000,20.220248
33.250000,20.219298
33.500000,20.212064
33.750000,20.282565
34.000000,20.324863
34.250000,20.308196
